Mon Dec 19 01:45:22 2016    ./stats/16-12-18_win

         22426 function calls (21868 primitive calls) in 4542.243 seconds

   Ordered by: internal time

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
       21 4528.839  215.659 4528.839  215.659 {method 'acquire' of '_thread.lock' objects}
      165    0.000    0.000    0.000    0.000 C:\Users\Lila\AppData\Local\Programs\Python\Python35\lib\socket.py:76(<lambda>)
        1    0.000    0.000    0.022    0.022 C:\Users\Lila\AppData\Local\Programs\Python\Python35\lib\multiprocessing\connection.py:10(<module>)
       88    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap_external>:45(_r_long)
      166    0.000    0.000    0.000    0.000 C:\Users\Lila\AppData\Local\Programs\Python\Python35\lib\socket.py:81(<lambda>)
        1    0.000    0.000    0.002    0.002 C:\Users\Lila\AppData\Local\Programs\Python\Python35\lib\pickle.py:24(<module>)
      101    0.000    0.000    0.000    0.000 C:\Users\Lila\AppData\Local\Programs\Python\Python35\lib\re.py:160(match)
        5    0.000    0.000    0.000    0.000 C:\Users\Lila\AppData\Local\Programs\Python\Python35\lib\ntpath.py:197(split)
        7    0.000    0.000    0.000    0.000 C:\Users\Lila\AppData\Local\Programs\Python\Python35\lib\threading.py:213(__init__)
       44    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap_external>:786(__init__)
        5    0.000    0.000    0.000    0.000 C:\Users\Lila\AppData\Local\Programs\Python\Python35\lib\multiprocessing\util.py:151(__init__)
        1    0.000    0.000    0.002    0.002 C:\Users\Lila\AppData\Local\Programs\Python\Python35\lib\multiprocessing\util.py:10(<module>)
       61    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:159(__init__)
        2    0.000    0.000    0.000    0.000 {built-in method _winapi.CreateNamedPipe}
      398    0.000    0.000    0.000    0.000 {method 'append' of 'list' objects}
        1    0.000    0.000    0.029    0.029 C:\Users\Lila\AppData\Local\Programs\Python\Python35\lib\multiprocessing\pool.py:219(_repopulate_pool)
      271    0.000    0.000    0.000    0.000 {method 'startswith' of 'str' objects}
        5    0.000    0.000    0.000    0.000 C:\Users\Lila\AppData\Local\Programs\Python\Python35\lib\logging\__init__.py:1347(findCaller)
       61    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:170(__exit__)
        1    0.000    0.000    0.000    0.000 C:\Users\Lila\AppData\Local\Programs\Python\Python35\lib\pickle.py:180(<listcomp>)
       54    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:314(__enter__)
        4    0.000    0.000    0.000    0.000 {built-in method _imp.exec_builtin}
       10    0.000    0.000    0.000    0.000 {method 'write' of '_io.TextIOWrapper' objects}
     14/4    0.000    0.000    0.001    0.000 C:\Users\Lila\AppData\Local\Programs\Python\Python35\lib\sre_parse.py:429(_parse_sub)
      216    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:324(<genexpr>)
       44    0.000    0.000    0.000    0.000 {built-in method _imp._fix_co_filename}
       44    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap_external>:382(_check_name_wrapper)
        1    0.000    0.000    0.001    0.001 C:\Users\Lila\AppData\Local\Programs\Python\Python35\lib\tarfile.py:30(<module>)
       58    0.000    0.000    0.000    0.000 {method 'endswith' of 'str' objects}
       50    0.000    0.000    0.008    0.000 <frozen importlib._bootstrap_external>:87(_path_isfile)
        4    0.000    0.000    0.002    0.001 C:\Users\Lila\AppData\Local\Programs\Python\Python35\lib\site-packages\PIL\ImageFile.py:120(load)
       46    0.000    0.000    0.000    0.000 C:\Users\Lila\AppData\Local\Programs\Python\Python35\lib\_weakrefset.py:81(add)
       32    0.000    0.000    0.000    0.000 C:\Users\Lila\AppData\Local\Programs\Python\Python35\lib\random.py:220(_randbelow)
        4    0.000    0.000    0.000    0.000 C:\Users\Lila\AppData\Local\Programs\Python\Python35\lib\ntpath.py:465(normpath)
       18    0.000    0.000    0.000    0.000 C:\Users\Lila\AppData\Local\Programs\Python\Python35\lib\sre_compile.py:221(_compile_charset)
       24    0.000    0.000    0.000    0.000 {built-in method _winapi.DuplicateHandle}
        5    0.000    0.000    0.000    0.000 C:\Users\Lila\AppData\Local\Programs\Python\Python35\lib\site-packages\PIL\Image.py:520(_new)
       10    0.000    0.000    0.000    0.000 C:\Users\Lila\AppData\Local\Programs\Python\Python35\lib\genericpath.py:111(_splitext)
        1    0.000    0.000    0.003    0.003 C:\Users\Lila\photo_mosaic\sources\photo_mosaic_maker\MosaicBuilder\Mosaic.py:155(save_images)
       23    0.000    0.000    0.000    0.000 C:\Users\Lila\AppData\Local\Programs\Python\Python35\lib\site-packages\PIL\Image.py:752(load)
        1    0.000    0.000   11.372   11.372 C:\Users\Lila\AppData\Local\Programs\Python\Python35\lib\site-packages\PIL\JpegImagePlugin.py:581(_save)
        4    0.000    0.000    0.029    0.007 C:\Users\Lila\AppData\Local\Programs\Python\Python35\lib\multiprocessing\context.py:310(_Popen)
        3    0.000    0.000    0.000    0.000 C:\Users\Lila\AppData\Local\Programs\Python\Python35\lib\threading.py:755(__init__)
        2    0.000    0.000    0.000    0.000 {built-in method nt.lstat}
        1    0.000    0.000    0.000    0.000 C:\Users\Lila\AppData\Local\Programs\Python\Python35\lib\subprocess.py:356(<module>)
       23    0.000    0.000    0.001    0.000 C:\Users\Lila\AppData\Local\Programs\Python\Python35\lib\abc.py:151(register)
